"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"result";"principal";"context";"entries";"component";"realm"
"47c1d8ba-e1a5-4474-a356-154f5603be91-337";"2023-06-12T00:24:25.290Z";"AM-LOGIN-MODULE-COMPLETED";"47c1d8ba-e1a5-4474-a356-154f5603be91-331";;"[""99d5dfffada82f0701""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"47c1d8ba-e1a5-4474-a356-154f5603be91-351";"2023-06-12T00:24:25.309Z";"AM-LOGIN-COMPLETED";"47c1d8ba-e1a5-4474-a356-154f5603be91-331";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-191";"2023-06-16T20:51:29.597Z";"AM-LOGIN-MODULE-COMPLETED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-0";;"[""f99ab4c6de9686c101""]";"SUCCESSFUL";"[""cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-201";"2023-06-16T20:51:29.663Z";"AM-LOGIN-COMPLETED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-0";"cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org";"[""f99ab4c6de9686c101""]";"SUCCESSFUL";"[""dsameuser""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-578";"2023-06-16T20:53:19.057Z";"AM-LOGIN-MODULE-COMPLETED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-562";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"[""a5071de2ef722e7901""]";"SUCCESSFUL";"[""jacobo""]";;"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.30.0.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-610";"2023-06-16T20:53:19.153Z";"AM-LOGIN-COMPLETED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-562";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""jacobo""]";;"[{""moduleId"":""DataStore"",""info"":{""ipAddress"":""172.30.0.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-822";"2023-06-16T20:54:07.605Z";"AM-LOGIN-MODULE-COMPLETED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-816";;"[""91e8e687331d634f01""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.30.0.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-836";"2023-06-16T20:54:07.618Z";"AM-LOGIN-COMPLETED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-816";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.30.0.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"278c5689-f872-4897-8c43-6028272bb2a7-191";"2023-06-16T21:06:01.837Z";"AM-LOGIN-MODULE-COMPLETED";"278c5689-f872-4897-8c43-6028272bb2a7-0";;"[""339f94d220013d6601""]";"SUCCESSFUL";"[""cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"278c5689-f872-4897-8c43-6028272bb2a7-201";"2023-06-16T21:06:01.929Z";"AM-LOGIN-COMPLETED";"278c5689-f872-4897-8c43-6028272bb2a7-0";"cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org";"[""339f94d220013d6601""]";"SUCCESSFUL";"[""dsameuser""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"278c5689-f872-4897-8c43-6028272bb2a7-1032";"2023-06-16T21:10:25.471Z";"AM-LOGIN-MODULE-COMPLETED";"278c5689-f872-4897-8c43-6028272bb2a7-1028";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""d48d4d7301162b3601""]";"SUCCESSFUL";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.30.0.1"",""authLevel"":""0""}}]";"Authentication";"/"
"278c5689-f872-4897-8c43-6028272bb2a7-1039";"2023-06-16T21:10:25.495Z";"AM-LOGIN-COMPLETED";"278c5689-f872-4897-8c43-6028272bb2a7-1028";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""d48d4d7301162b3601""]";"SUCCESSFUL";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""ipAddress"":""172.30.0.1"",""authLevel"":""0""}}]";"Authentication";"/"
