"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"runAs";"objectId";"operation";"before";"after";"changedFields";"revision";"component";"realm"
"47c1d8ba-e1a5-4474-a356-154f5603be91-435";"2023-06-12T00:24:38.171Z";"AM-SESSION-DESTROYED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c4c01f67865ba31a01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"c4c01f67865ba31a01";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-437";"2023-06-12T00:24:38.172Z";"AM-SESSION-DESTROYED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""acb1a9166936bef201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"acb1a9166936bef201";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-441";"2023-06-12T00:24:38.171Z";"AM-SESSION-IDLE_TIMED_OUT";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""337859d63391e4a301""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"337859d63391e4a301";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-440";"2023-06-12T00:24:38.172Z";"AM-SESSION-IDLE_TIMED_OUT";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""8c87a9cc814b7b001""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"8c87a9cc814b7b001";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-443";"2023-06-12T00:24:38.172Z";"AM-SESSION-DESTROYED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""8c87a9cc814b7b001""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"8c87a9cc814b7b001";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-445";"2023-06-12T00:24:38.171Z";"AM-SESSION-DESTROYED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""337859d63391e4a301""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"337859d63391e4a301";"DELETE";;;;;"Session";"/"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-171";"2023-06-16T20:51:29.336Z";"AM-SESSION-EVENT_URL_ADDED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""940ad08ec011b58c01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"940ad08ec011b58c01";"UPDATE";;;;;"Session";"/"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-193";"2023-06-16T20:51:29.654Z";"AM-SESSION-CREATED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""f99ab4c6de9686c101""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"f99ab4c6de9686c101";"CREATE";;;;;"Session";"/"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-212";"2023-06-16T20:51:29.688Z";"AM-SESSION-EVENT_URL_ADDED";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""f99ab4c6de9686c101""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"f99ab4c6de9686c101";"UPDATE";;;;;"Session";"/"
"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-394";"2023-06-16T20:52:26.964Z";"AM-SESSION-IDLE_TIMED_OUT";"bed07c3f-ee00-4f99-8fe2-597b25b93eb4-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""eeccbf78c8157c5c01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"eeccbf78c8157c5c01";"DELETE";;;;;"Session";"/"
